update,step,steps_per_sec,rollout_sec,learn_sec,episodes,mean_x_pos,flag_rate,mean_coins,mean_game_reward,stall_rate,policy_loss,value_loss,entropy,approx_kl,clipfrac,explained_variance,wall_time
106,325632,544.6,3.68,1.96,38,741.1842105263158,0.0,0.6052631578947368,666.7105263157895,0.0,0.00028,12.34865,1.15385,0.00402,0.03507,0.73462,620.9
107,328704,535.9,3.75,1.98,43,656.0697674418604,0.0,0.7441860465116279,583.9069767441861,0.0,0.00342,10.42065,1.15965,0.00729,0.09424,0.73495,626.6
108,331776,522.4,3.89,1.99,46,578.1086956521739,0.0,0.5652173913043478,508.10869565217394,0.0,-0.00087,11.74928,1.17102,0.00711,0.08431,0.70403,632.5
109,334848,538.8,3.71,1.99,42,549.6666666666666,0.0,0.23809523809523808,479.1666666666667,0.0,0.0004,11.52857,1.14399,0.00326,0.02669,0.78493,638.2
110,337920,541.1,3.73,1.94,42,668.5952380952381,0.0,0.8571428571428571,596.3809523809524,0.0,-0.00016,13.79983,1.16457,0.00593,0.0721,0.72538,643.9
111,340992,539.0,3.72,1.98,44,601.5909090909091,0.0,0.8636363636363636,531.3863636363636,0.0,9e-05,15.2683,1.16459,0.0053,0.05998,0.63962,649.6
112,344064,544.1,3.73,1.91,50,550.56,0.0,0.56,480.96,0.0,-0.00199,13.15938,1.15258,0.00477,0.04093,0.71461,655.2
113,347136,523.9,3.89,1.98,48,536.6041666666666,0.0,0.6041666666666666,466.7916666666667,0.0,-0.00076,7.31199,1.10278,0.00607,0.08521,0.82059,661.1
114,350208,551.1,3.56,2.01,37,567.3243243243244,0.0,0.5405405405405406,496.9189189189189,0.0,0.00248,11.43534,1.15234,0.00483,0.059,0.78082,666.7
115,353280,538.3,3.63,2.08,46,573.4565217391304,0.0,0.6739130434782609,502.2826086956522,0.0,0.00123,10.20096,1.06889,0.01031,0.11133,0.75674,672.4
116,356352,530.8,3.83,1.95,44,539.1590909090909,0.0,0.29545454545454547,467.90909090909093,0.0,0.00169,7.75566,1.10529,0.0076,0.10352,0.74767,678.2
117,359424,536.5,3.72,2.0,47,536.4042553191489,0.0,0.2127659574468085,467.2340425531915,0.0,0.00195,13.6553,1.11985,0.00747,0.08708,0.60948,683.9
118,362496,528.0,3.83,1.98,48,630.0833333333334,0.0,0.75,559.3125,0.0,0.00061,10.95631,1.1569,0.0082,0.08691,0.69851,689.7
119,365568,525.0,3.85,2.0,45,525.8,0.0,0.17777777777777778,456.68888888888887,0.0,-0.00253,10.99916,1.17637,0.00491,0.04468,0.69384,695.6
120,368640,544.4,3.63,2.01,40,682.65,0.0,0.725,609.05,0.0,-0.00199,9.46168,1.1557,0.00663,0.06576,0.59709,701.2
121,371712,543.3,3.68,1.97,42,522.1904761904761,0.0,0.07142857142857142,452.26190476190476,0.0,-0.00266,11.61889,1.14579,0.00513,0.05379,0.55577,706.9
122,374784,530.7,3.84,1.95,51,545.9411764705883,0.0,0.5294117647058824,475.8235294117647,0.0,-0.00222,9.15897,1.18455,0.00644,0.06592,0.61284,712.7
123,377856,550.5,3.69,1.89,42,472.2857142857143,0.0,0.2619047619047619,403.64285714285717,0.0,-0.00239,8.73446,1.18515,0.00505,0.06152,0.66995,718.3
124,380928,532.3,3.79,1.98,49,553.6938775510204,0.0,0.4489795918367347,481.9183673469388,0.0,0.00224,8.65013,1.19489,0.00685,0.08008,0.44549,724.0
125,384000,552.7,3.68,1.88,45,479.22222222222223,0.0,0.2,410.5111111111111,0.0,-0.00364,9.06084,1.19369,0.00556,0.0498,0.5907,729.6
126,387072,553.5,3.68,1.87,39,635.2307692307693,0.0,0.4358974358974359,560.5128205128206,0.0,0.00048,8.31522,1.10622,0.00497,0.04451,0.57989,735.1
127,390144,530.1,3.81,1.99,46,536.9565217391304,0.0,0.391304347826087,467.3478260869565,0.0,-0.00244,10.6738,1.09133,0.00572,0.05428,0.63033,740.9
128,393216,541.1,3.67,2.01,47,585.2765957446809,0.0,0.3617021276595745,515.0851063829788,0.0,0.00058,11.89689,1.11748,0.00359,0.02808,0.61078,746.6
129,396288,544.4,3.66,1.98,41,596.0975609756098,0.0,0.5365853658536586,524.6585365853658,0.0,0.00191,11.67377,1.15401,0.00695,0.08911,0.66695,752.3
130,399360,531.4,3.76,2.02,46,522.3478260869565,0.0,0.391304347826087,453.2391304347826,0.0,-0.00363,13.5538,1.09883,0.00669,0.0887,0.59903,758.0
131,402432,534.0,3.84,1.91,52,541.1923076923077,0.0,0.3076923076923077,471.40384615384613,0.0,-0.00034,12.32734,1.0533,0.00546,0.07064,0.73785,763.8
